ticket_id,jira_status,jira_id,reason,total_attachments,successful_attachments,failed_attachments,attachment_type,created_at,updated_at
259,success,FTJM-47743,,1,1,0,attachment,2025-08-25T23:18:35.416144,2025-08-25T23:18:35.416144
263,success,FTJM-47747,,0,0,0,none,2025-08-25T23:18:35.636899,2025-08-25T23:18:35.636899
260,success,FTJM-47744,,1,1,0,attachment,2025-08-25T23:18:35.732429,2025-08-25T23:18:35.732429
264,success,FTJM-47748,,0,0,0,none,2025-08-25T23:18:36.192681,2025-08-25T23:18:36.192681
261,success,FTJM-47745,,1,1,0,attachment,2025-08-25T23:18:36.263086,2025-08-25T23:18:36.263086
262,success,FTJM-47746,,1,1,0,attachment,2025-08-25T23:18:36.618074,2025-08-25T23:18:36.618074
267,success,FTJM-47750,,0,0,0,none,2025-08-25T23:18:37.252400,2025-08-25T23:18:37.252400
269,success,FTJM-47751,,0,0,0,none,2025-08-25T23:18:38.086637,2025-08-25T23:18:38.086637
271,success,FTJM-47753,,0,0,0,none,2025-08-25T23:18:39.166248,2025-08-25T23:18:39.166248
272,success,FTJM-47754,,0,0,0,none,2025-08-25T23:18:39.509424,2025-08-25T23:18:39.509424
273,success,FTJM-47755,,0,0,0,none,2025-08-25T23:18:40.105214,2025-08-25T23:18:40.105214
274,success,FTJM-47756,,0,0,0,none,2025-08-25T23:18:40.541595,2025-08-25T23:18:40.541595
270,success,FTJM-47752,,3,3,0,attachment,2025-08-25T23:18:40.971340,2025-08-25T23:18:40.971340
276,success,FTJM-47757,,0,0,0,none,2025-08-25T23:18:41.127381,2025-08-25T23:18:41.127381
281,success,FTJM-47760,,0,0,0,none,2025-08-25T23:18:42.363929,2025-08-25T23:18:42.363929
278,success,FTJM-47758,,2,2,0,attachment,2025-08-25T23:18:43.470152,2025-08-25T23:18:43.470152
285,success,FTJM-47762,,0,0,0,none,2025-08-25T23:18:43.593467,2025-08-25T23:18:43.593467
283,success,FTJM-47761,,1,1,0,attachment,2025-08-25T23:18:44.101200,2025-08-25T23:18:44.101200
286,success,FTJM-47763,,1,1,0,attachment,2025-08-25T23:18:45.123581,2025-08-25T23:18:45.123581
265,success,FTJM-47749,,1,1,0,attachment,2025-08-25T23:18:45.772693,2025-08-25T23:18:45.772693
288,success,FTJM-47765,,1,1,0,attachment,2025-08-25T23:18:45.786791,2025-08-25T23:18:45.786791
287,success,FTJM-47764,,1,1,0,attachment,2025-08-25T23:18:45.996013,2025-08-25T23:18:45.996013
289,success,FTJM-47766,,1,1,0,attachment,2025-08-25T23:18:46.609954,2025-08-25T23:18:46.609954
291,success,FTJM-47768,,1,1,0,attachment,2025-08-25T23:18:47.191632,2025-08-25T23:18:47.191632
290,success,FTJM-47767,,1,1,0,attachment,2025-08-25T23:18:47.270800,2025-08-25T23:18:47.270800
292,success,FTJM-47769,,1,1,0,attachment,2025-08-25T23:18:48.196882,2025-08-25T23:18:48.196882
293,success,FTJM-47770,,1,1,0,attachment,2025-08-25T23:18:48.588465,2025-08-25T23:18:48.588465
279,success,FTJM-47759,,10,10,0,attachment,2025-08-25T23:18:48.626287,2025-08-25T23:18:48.626287
294,success,FTJM-47771,,1,1,0,attachment,2025-08-25T23:18:49.328171,2025-08-25T23:18:49.328171
295,success,FTJM-47772,,1,1,0,attachment,2025-08-25T23:18:50.059859,2025-08-25T23:18:50.059859
296,success,FTJM-47773,,1,1,0,attachment,2025-08-25T23:18:50.594798,2025-08-25T23:18:50.594798
297,success,FTJM-47774,,1,1,0,attachment,2025-08-25T23:18:51.012573,2025-08-25T23:18:51.012573
300,success,FTJM-47776,,1,1,0,attachment,2025-08-25T23:18:51.369905,2025-08-25T23:18:51.369905
298,success,FTJM-47775,,1,1,0,attachment,2025-08-25T23:18:51.488083,2025-08-25T23:18:51.488083
301,success,FTJM-47777,,1,1,0,attachment,2025-08-25T23:18:52.613952,2025-08-25T23:18:52.613952
302,success,FTJM-47778,,1,1,0,attachment,2025-08-25T23:18:52.794114,2025-08-25T23:18:52.794114
304,success,FTJM-47779,,1,1,0,attachment,2025-08-25T23:18:53.716274,2025-08-25T23:18:53.716274
305,success,FTJM-47780,,1,1,0,attachment,2025-08-25T23:18:54.037762,2025-08-25T23:18:54.037762
306,success,FTJM-47781,,1,1,0,attachment,2025-08-25T23:18:54.680889,2025-08-25T23:18:54.680889
307,success,FTJM-47782,,1,1,0,attachment,2025-08-25T23:18:54.991641,2025-08-25T23:18:54.991641
308,success,FTJM-47783,,1,1,0,attachment,2025-08-25T23:18:55.203130,2025-08-25T23:18:55.203130
309,success,FTJM-47784,,1,1,0,attachment,2025-08-25T23:18:55.961799,2025-08-25T23:18:55.961799
310,success,FTJM-47785,,1,1,0,attachment,2025-08-25T23:18:56.792602,2025-08-25T23:18:56.792602
314,success,FTJM-47789,,0,0,0,none,2025-08-25T23:18:56.821118,2025-08-25T23:18:56.821118
311,success,FTJM-47786,,1,1,0,attachment,2025-08-25T23:18:57.215865,2025-08-25T23:18:57.215865
315,success,FTJM-47790,,0,0,0,none,2025-08-25T23:18:57.373574,2025-08-25T23:18:57.373574
312,success,FTJM-47787,,1,1,0,attachment,2025-08-25T23:18:57.572542,2025-08-25T23:18:57.572542
317,success,FTJM-47791,,0,0,0,none,2025-08-25T23:18:57.845762,2025-08-25T23:18:57.845762
313,success,FTJM-47788,,1,1,0,attachment,2025-08-25T23:18:57.969473,2025-08-25T23:18:57.969473
318,success,FTJM-47792,,1,1,0,attachment,2025-08-25T23:18:59.630532,2025-08-25T23:18:59.630532
322,success,FTJM-47793,,1,1,0,attachment,2025-08-25T23:19:00.003153,2025-08-25T23:19:00.003153
393,success,FTJM-47795,,0,0,0,none,2025-08-25T23:19:00.316175,2025-08-25T23:19:00.316175
394,success,FTJM-47796,,0,0,0,none,2025-08-25T23:19:00.483502,2025-08-25T23:19:00.483502
395,success,FTJM-47797,,0,0,0,none,2025-08-25T23:19:00.954336,2025-08-25T23:19:00.954336
396,success,FTJM-47798,,0,0,0,none,2025-08-25T23:19:01.706569,2025-08-25T23:19:01.706569
397,success,FTJM-47799,,0,0,0,none,2025-08-25T23:19:01.901610,2025-08-25T23:19:01.901610
401,success,FTJM-47800,,0,0,0,none,2025-08-25T23:19:02.724158,2025-08-25T23:19:02.724158
402,success,FTJM-47801,,0,0,0,none,2025-08-25T23:19:03.060960,2025-08-25T23:19:03.060960
410,success,FTJM-47806,,0,0,0,none,2025-08-25T23:19:05.995269,2025-08-25T23:19:05.995269
329,success,FTJM-47794,,10,10,0,attachment,2025-08-25T23:19:06.081045,2025-08-25T23:19:06.081045
411,success,FTJM-47807,,0,0,0,none,2025-08-25T23:19:06.344629,2025-08-25T23:19:06.344629
407,success,FTJM-47804,,2,2,0,attachment,2025-08-25T23:19:06.573340,2025-08-25T23:19:06.573340
412,success,FTJM-47808,,0,0,0,none,2025-08-25T23:19:07.356377,2025-08-25T23:19:07.356377
404,success,FTJM-47802,,5,5,0,conversation,2025-08-25T23:19:07.580954,2025-08-25T23:19:07.580954
413,success,FTJM-47809,,0,0,0,none,2025-08-25T23:19:08.995666,2025-08-25T23:19:08.995666
417,success,FTJM-47811,,0,0,0,none,2025-08-25T23:19:09.779939,2025-08-25T23:19:09.779939
409,success,FTJM-47805,,2,2,0,mixed,2025-08-25T23:19:10.110320,2025-08-25T23:19:10.110320
419,success,FTJM-47813,,0,0,0,none,2025-08-25T23:19:10.397312,2025-08-25T23:19:10.397312
418,success,FTJM-47812,,0,0,0,none,2025-08-25T23:19:10.482866,2025-08-25T23:19:10.482866
416,success,FTJM-47810,,2,2,0,attachment,2025-08-25T23:19:10.549376,2025-08-25T23:19:10.549376
421,success,FTJM-47814,,0,0,0,none,2025-08-25T23:19:10.722185,2025-08-25T23:19:10.722185
422,success,FTJM-47815,,0,0,0,none,2025-08-25T23:19:10.994993,2025-08-25T23:19:10.994993
425,success,FTJM-47817,,0,0,0,none,2025-08-25T23:19:11.892236,2025-08-25T23:19:11.892236
426,success,FTJM-47818,,0,0,0,none,2025-08-25T23:19:12.695898,2025-08-25T23:19:12.695898
427,success,FTJM-47819,,0,0,0,none,2025-08-25T23:19:13.043389,2025-08-25T23:19:13.043389
428,success,FTJM-47820,,0,0,0,none,2025-08-25T23:19:13.572266,2025-08-25T23:19:13.572266
424,success,FTJM-47816,,3,3,0,attachment,2025-08-25T23:19:13.602927,2025-08-25T23:19:13.602927
431,success,FTJM-47822,,0,0,0,none,2025-08-25T23:19:14.527865,2025-08-25T23:19:14.527865
430,success,FTJM-47821,,1,1,0,conversation,2025-08-25T23:19:15.493691,2025-08-25T23:19:15.493691
405,success,FTJM-47803,,6,6,0,conversation,2025-08-25T23:19:15.897429,2025-08-25T23:19:15.897429
437,success,FTJM-47826,,0,0,0,none,2025-08-25T23:19:17.044762,2025-08-25T23:19:17.044762
433,success,FTJM-47824,,1,1,0,attachment,2025-08-25T23:19:17.207414,2025-08-25T23:19:17.207414
438,success,FTJM-47827,,0,0,0,none,2025-08-25T23:19:17.643461,2025-08-25T23:19:17.643461
448,success,FTJM-47828,,0,0,0,none,2025-08-25T23:19:17.774423,2025-08-25T23:19:17.774423
436,success,FTJM-47825,,1,1,0,attachment,2025-08-25T23:19:18.249480,2025-08-25T23:19:18.249480
432,success,FTJM-47823,,2,2,0,conversation,2025-08-25T23:19:18.422000,2025-08-25T23:19:18.422000
456,success,FTJM-47829,,0,0,0,none,2025-08-25T23:19:18.480677,2025-08-25T23:19:18.480677
457,success,FTJM-47830,,0,0,0,none,2025-08-25T23:19:18.823786,2025-08-25T23:19:18.823786
458,success,FTJM-47831,,0,0,0,none,2025-08-25T23:19:19.012163,2025-08-25T23:19:19.012163
459,success,FTJM-47832,,0,0,0,none,2025-08-25T23:19:19.617487,2025-08-25T23:19:19.617487
